"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,";"buzzardLabel";14;"";;;
2;"JP3";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
3;"H4,H1,H2,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"D2";"0402LED";1;"red";;;
5;"U1";"TP4056M-MSOP8";1;"TP4056M";;;
6;"C3";"0603C";1;"0.1uF";;;
7;"U2";"Sot23-6";1;"DW01-P(SOT23-6)";;;
8;"R3";"0402R";1;"330R";;;
9;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
10;"R4";"0603R";1;"4.7k";;;
11;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
12;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
13;"G***";"Symbol-Front-Battery";1;"LOGO";;;
14;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
15;"K7";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
16;"D1";"0402LED";1;"purple";;;
17;"R6,R8";"0402R";2;"100R";;;
18;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
19;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
20;"R5";"0603R";1;"2k49";;;
21;"U3";"TSSOP8";1;"FS8205A";;;
22;"R1,R2";"0603R";2;"5.1k";;;
23;"JP2";"SMD_JUMPER_CONNECTED";1;"SMD-JUMPER-CONNECTED";;;
24;"C2,C1";"0603C";2;"2.2uF";;;
25;"R7";"0402R";1;"1k";;;
26;"K4,K2,K8,K6,K9,K3,K5";"HEADER_MALE_1X1";7;"HEADER_MALE_1X1";;;
27;"";"Version1.0.0.";1;"";;;
